date,NO2,O3,PM10,PM25,site_code
2020-01-20,71.37916666666666,,,,BG1
2020-01-21,73.06521739130434,,,,BG1
2020-01-22,39.65,,,,BG1
2020-01-23,31.420833333333334,,,,BG1
2020-01-24,36.00833333333333,,,,BG1
2020-01-25,21.075,,,,BG1
2020-01-26,13.650000000000004,,,,BG1
2020-01-27,22.6125,,,,BG1
2020-01-28,17.708333333333336,,,,BG1
2020-01-29,20.045833333333338,,,,BG1
2020-01-30,19.804166666666667,,,,BG1
2020-01-31,12.275,,,,BG1
2020-02-01,10.791304347826088,,,,BG1
2020-02-02,11.491666666666669,,,,BG1
2020-02-03,14.14347826086956,,,,BG1
2020-02-04,19.883333333333333,,,,BG1
2020-02-05,50.90416666666667,,,,BG1
2020-02-06,53.029166666666676,,,,BG1
2020-02-07,29.079166666666666,,,,BG1
2020-02-08,13.541666666666671,,,,BG1
2020-02-09,3.845833333333333,,,,BG1
2020-02-10,9.6,,,,BG1
2020-02-11,10.145833333333332,,,,BG1
2020-02-12,16.70416666666667,,,,BG1
2020-02-13,15.791666666666666,,,,BG1
2020-02-14,19.933333333333326,,,,BG1
2020-02-15,6.095833333333332,,,,BG1
2020-02-16,6.108333333333334,,,,BG1
2020-02-17,10.1625,,,,BG1
2020-02-18,12.878260869565217,,,,BG1
2020-02-19,17.233333333333334,,,,BG1
2020-02-20,12.616666666666669,,,,BG1
2020-02-21,11.916666666666666,,,,BG1
2020-02-22,7.812500000000001,,,,BG1
2020-02-23,11.933333333333332,,,,BG1
2020-02-24,14.34285714285714,,,,BG1
2020-02-25,14.320833333333331,,,,BG1
2020-02-26,22.483333333333334,,,,BG1
2020-02-27,25.67916666666667,,,,BG1
2020-02-28,24.158333333333335,,,,BG1
2020-02-29,7.420833333333333,,,,BG1
2020-03-01,7.3999999999999995,,,,BG1
2020-03-02,18.450000000000003,,,,BG1
2020-03-03,30.11666666666667,,,,BG1
2020-03-04,35.175000000000004,,,,BG1
2020-03-05,14.325000000000001,,,,BG1
2020-03-06,31.254166666666666,,,,BG1
2020-03-07,26.208333333333332,,,,BG1
2020-03-08,8.641666666666667,,,,BG1
2020-03-09,12.350000000000001,,,,BG1
2020-03-10,10.045833333333333,,,,BG1
2020-03-11,10.624999999999998,,,,BG1
2020-03-12,,,,,BG1
2020-03-13,,,,,BG1
2020-03-14,16.565217391304344,,,,BG1
2020-03-15,17.208333333333332,,,,BG1
2020-03-16,29.82916666666667,,,,BG1
2020-03-17,23.641666666666666,,,,BG1
2020-03-18,18.950000000000003,,,,BG1
2020-03-19,18.554166666666664,,,,BG1
2020-03-20,14.112499999999997,,,,BG1
2020-03-21,13.141666666666667,,,,BG1
2020-03-22,14.858333333333333,,,,BG1
2020-03-23,23.899999999999995,,,,BG1
2020-03-24,25.243478260869573,,,,BG1
2020-03-25,27.075,,,,BG1
2020-03-26,17.099999999999998,,,,BG1
2020-03-27,10.579166666666667,,,,BG1
2020-03-28,6.2875000000000005,,,,BG1
2020-03-29,5.0874999999999995,,,,BG1
2020-03-30,10.279166666666665,,,,BG1
2020-03-31,11.083333333333334,,,,BG1
2020-04-01,21.76666666666667,,,,BG1
2020-04-02,13.120833333333332,,,,BG1
2020-04-03,19.866666666666664,,,,BG1
2020-04-04,18.020833333333336,,,,BG1
2020-04-05,11.420833333333333,,,,BG1
2020-04-06,20.687499999999996,,,,BG1
2020-04-07,24.77916666666667,,,,BG1
2020-04-08,24.5625,,,,BG1
2020-04-09,18.121739130434786,,,,BG1
2020-04-10,15.129166666666668,,,,BG1
2020-04-11,23.41666666666667,,,,BG1
2020-04-12,15.091666666666669,,,,BG1
2020-04-13,3.5833333333333335,,,,BG1
2020-04-14,7.954166666666667,,,,BG1
2020-04-15,19.839130434782614,,,,BG1
2020-04-16,22.2375,,,,BG1
2020-04-17,6.595833333333334,,,,BG1
2020-04-18,10.374999999999998,,,,BG1
2020-04-19,7.695833333333333,,,,BG1
2020-04-20,8.708333333333332,,,,BG1
2020-01-20,61.64166666666667,,37.125,,BG2
2020-01-21,67.63333333333333,,44.31666666666666,,BG2
2020-01-22,48.95416666666667,,30.758333333333336,,BG2
2020-01-23,43.42499999999999,,20.683333333333334,,BG2
2020-01-24,41.13333333333333,,19.787500000000005,,BG2
2020-01-25,23.133333333333336,,24.54166666666667,,BG2
2020-01-26,13.041666666666666,,21.320833333333333,,BG2
2020-01-27,31.962500000000002,,12.525,,BG2
2020-01-28,23.92083333333333,,8.6375,,BG2
2020-01-29,29.895833333333332,,16.295833333333338,,BG2
2020-01-30,24.466666666666665,,10.7125,,BG2
2020-01-31,17.62916666666666,,6.591666666666665,,BG2
2020-02-01,12.4,,15.5,,BG2
2020-02-02,15.758333333333333,,16.741666666666664,,BG2
2020-02-03,22.125,,19.09583333333333,,BG2
2020-02-04,27.154166666666672,,14.516666666666667,,BG2
2020-02-05,52.69999999999999,,31.608333333333324,,BG2
2020-02-06,55.849999999999994,,37.337500000000006,,BG2
2020-02-07,37.487500000000004,,31.662499999999998,,BG2
2020-02-08,15.641666666666666,,17.0125,,BG2
2020-02-09,6.312499999999999,,14.012499999999998,,BG2
2020-02-10,15.374999999999998,,11.924999999999999,,BG2
2020-02-11,18.0375,,14.49583333333333,,BG2
2020-02-12,26.51666666666667,,13.779166666666667,,BG2
2020-02-13,23.42083333333333,,9.608333333333333,,BG2
2020-02-14,23.08333333333334,,18.633333333333333,,BG2
2020-02-15,4.870833333333333,,8.229166666666666,,BG2
2020-02-16,6.45,,5.320833333333335,,BG2
