NO2,O3,PM10,PM25,date,site_code
10.791304347826088,,,,2020-02-01,BG1
11.491666666666669,,,,2020-02-02,BG1
14.14347826086956,,,,2020-02-03,BG1
19.883333333333333,,,,2020-02-04,BG1
50.90416666666667,,,,2020-02-05,BG1
53.029166666666676,,,,2020-02-06,BG1
29.079166666666666,,,,2020-02-07,BG1
13.541666666666671,,,,2020-02-08,BG1
3.845833333333333,,,,2020-02-09,BG1
9.6,,,,2020-02-10,BG1
10.145833333333332,,,,2020-02-11,BG1
16.70416666666667,,,,2020-02-12,BG1
15.791666666666666,,,,2020-02-13,BG1
19.933333333333326,,,,2020-02-14,BG1
6.095833333333332,,,,2020-02-15,BG1
6.108333333333334,,,,2020-02-16,BG1
10.1625,,,,2020-02-17,BG1
12.878260869565217,,,,2020-02-18,BG1
17.233333333333334,,,,2020-02-19,BG1
12.616666666666669,,,,2020-02-20,BG1
11.916666666666666,,,,2020-02-21,BG1
7.812500000000001,,,,2020-02-22,BG1
11.933333333333332,,,,2020-02-23,BG1
14.34285714285714,,,,2020-02-24,BG1
14.320833333333331,,,,2020-02-25,BG1
22.483333333333334,,,,2020-02-26,BG1
25.67916666666667,,,,2020-02-27,BG1
24.158333333333335,,,,2020-02-28,BG1
7.420833333333333,,,,2020-02-29,BG1
7.3999999999999995,,,,2020-03-01,BG1
18.450000000000003,,,,2020-03-02,BG1
30.11666666666667,,,,2020-03-03,BG1
35.175000000000004,,,,2020-03-04,BG1
14.325000000000001,,,,2020-03-05,BG1
31.254166666666666,,,,2020-03-06,BG1
26.208333333333332,,,,2020-03-07,BG1
8.641666666666667,,,,2020-03-08,BG1
12.350000000000001,,,,2020-03-09,BG1
10.045833333333333,,,,2020-03-10,BG1
10.624999999999998,,,,2020-03-11,BG1
,,,,2020-03-12,BG1
,,,,2020-03-13,BG1
16.565217391304344,,,,2020-03-14,BG1
17.208333333333332,,,,2020-03-15,BG1
29.82916666666667,,,,2020-03-16,BG1
23.641666666666666,,,,2020-03-17,BG1
